transaction_id,transaction_date,customer_id,product_category,product_name,quantity,unit_price,total_amount,payment_method,region
TXN100000,2025-01-01,CUST831,Snacks,Bingo Mad Angles,2,25,50,UPI,Mumbai
TXN100001,2025-02-19,CUST302,Personal Care,Vivel Soap,1,35,35,Card,Chennai
TXN100002,2025-06-04,CUST742,Beverages,Sunbean Coffee,4,180,720,Card,Hyderabad
TXN100003,2025-04-16,CUST514,Snacks,Bingo Chips,1,20,20,UPI,Mumbai
TXN100004,2025-01-10,CUST740,Personal Care,Savlon Sanitizer,4,70,280,Cash,Bangalore
TXN100005,2025-05-13,CUST599,Snacks,Bingo Chips,3,20,60,Card,Delhi
TXN100006,2025-01-05,CUST990,FMCG,Aashirvaad Atta,4,65,260,Cash,Mumbai
TXN100007,2025-04-13,CUST962,Beverages,Sunbean Coffee,3,180,540,UPI,Kolkata
TXN100008,2025-05-23,CUST713,Personal Care,Savlon Sanitizer,1,70,70,Cash,Hyderabad
TXN100009,2025-01-19,CUST563,FMCG,Aashirvaad Atta,3,65,195,Cash,Hyderabad
TXN100010,2025-03-27,CUST771,Snacks,Bingo Mad Angles,2,25,50,Card,Delhi
TXN100011,2025-06-06,CUST985,Beverages,Sunbean Coffee,3,180,540,UPI,Chennai
TXN100012,2025-04-15,CUST453,FMCG,Aashirvaad Atta,2,65,130,Card,Bangalore
TXN100013,2025-01-08,CUST652,Personal Care,Savlon Sanitizer,1,70,70,Cash,Delhi
TXN100014,2025-05-14,CUST199,Beverages,B Natural Juice,1,40,40,Cash,Kolkata
TXN100015,2025-03-21,CUST982,Snacks,Bingo Chips,1,20,20,Card,Hyderabad
TXN100016,2025-02-13,CUST359,Beverages,Sunbean Coffee,4,180,720,Card,Chennai
TXN100017,2025-01-17,CUST947,FMCG,Aashirvaad Atta,2,65,130,Card,Bangalore
TXN100018,2025-02-28,CUST745,FMCG,Aashirvaad Atta,4,65,260,Card,Delhi
TXN100019,2025-05-16,CUST400,Snacks,Bingo Mad Angles,1,25,25,UPI,Hyderabad
TXN100020,2025-03-31,CUST557,FMCG,Aashirvaad Atta,4,65,260,UPI,Mumbai
TXN100021,2025-02-26,CUST154,Snacks,Bingo Chips,2,20,40,UPI,Delhi
TXN100022,2025-05-23,CUST988,Beverages,Sunbean Coffee,1,180,180,UPI,Mumbai
TXN100023,2025-06-04,CUST331,Beverages,B Natural Juice,3,40,120,UPI,Delhi
TXN100024,2025-03-31,CUST273,Beverages,B Natural Juice,4,40,160,Cash,Kolkata
TXN100025,2025-04-24,CUST409,Snacks,Bingo Chips,3,20,60,UPI,Kolkata
TXN100026,2025-02-09,CUST482,Beverages,B Natural Juice,4,40,160,Cash,Chennai
TXN100027,2025-05-09,CUST715,Beverages,B Natural Juice,2,40,80,Cash,Bangalore
TXN100028,2025-06-03,CUST905,Snacks,Bingo Chips,1,20,20,UPI,Hyderabad
TXN100029,2025-06-21,CUST193,Snacks,Bingo Mad Angles,3,25,75,UPI,Delhi
TXN100030,2025-03-03,CUST562,Personal Care,Savlon Sanitizer,5,70,350,Card,Hyderabad
TXN100031,2025-06-12,CUST754,Snacks,Bingo Chips,4,20,80,Card,Mumbai
TXN100032,2025-06-09,CUST405,Snacks,Bingo Chips,3,20,60,Card,Hyderabad
TXN100033,2025-05-03,CUST563,Personal Care,Savlon Handwash,1,95,95,Card,Chennai
TXN100034,2025-05-10,CUST367,Personal Care,Savlon Handwash,4,95,380,UPI,Delhi
TXN100035,2025-04-26,CUST435,Beverages,Sunbean Coffee,2,180,360,Card,Hyderabad
TXN100036,2025-06-15,CUST654,Beverages,B Natural Juice,1,40,40,Card,Hyderabad
TXN100037,2025-06-12,CUST771,Snacks,Bingo Mad Angles,2,25,50,Card,Mumbai
TXN100038,2025-02-05,CUST956,Beverages,Sunbean Coffee,1,180,180,Cash,Mumbai
TXN100039,2025-04-08,CUST373,Beverages,B Natural Juice,1,40,40,Cash,Hyderabad
TXN100040,2025-05-16,CUST896,Beverages,B Natural Juice,5,40,200,Card,Hyderabad
TXN100041,2025-03-27,CUST886,Personal Care,Savlon Sanitizer,1,70,70,Card,Bangalore
TXN100042,2025-04-13,CUST167,Snacks,Bingo Chips,4,20,80,UPI,Kolkata
TXN100043,2025-06-28,CUST443,FMCG,Aashirvaad Atta,3,65,195,UPI,Hyderabad
TXN100044,2025-02-26,CUST236,Beverages,B Natural Juice,2,40,80,UPI,Delhi
TXN100045,2025-05-14,CUST759,Personal Care,Vivel Soap,5,35,175,Cash,Chennai
TXN100046,2025-06-13,CUST783,Snacks,Bingo Chips,2,20,40,UPI,Mumbai
TXN100047,2025-03-13,CUST987,Snacks,Bingo Mad Angles,1,25,25,Card,Hyderabad
TXN100048,2025-05-22,CUST161,Snacks,Bingo Chips,3,20,60,Cash,Mumbai
TXN100049,2025-02-20,CUST302,Snacks,Bingo Mad Angles,2,25,50,Cash,Mumbai
TXN100050,2025-02-18,CUST134,Personal Care,Vivel Soap,2,35,70,UPI,Mumbai
TXN100051,2025-01-22,CUST715,Beverages,Sunbean Coffee,5,180,900,UPI,Bangalore
TXN100052,2025-06-12,CUST470,Snacks,Bingo Chips,2,20,40,Card,Hyderabad
TXN100053,2025-03-04,CUST951,Snacks,Bingo Mad Angles,1,25,25,UPI,Chennai
TXN100054,2025-06-25,CUST946,Snacks,Bingo Chips,5,20,100,Card,Bangalore
TXN100055,2025-01-13,CUST745,Beverages,Sunbean Coffee,3,180,540,UPI,Chennai
TXN100056,2025-05-24,CUST310,Beverages,Sunbean Coffee,2,180,360,Card,Chennai
TXN100057,2025-03-09,CUST825,Personal Care,Vivel Soap,2,35,70,Cash,Delhi
TXN100058,2025-01-21,CUST873,Snacks,Bingo Mad Angles,3,25,75,Cash,Hyderabad
TXN100059,2025-01-01,CUST570,Personal Care,Vivel Soap,2,35,70,UPI,Hyderabad
TXN100060,2025-01-27,CUST700,Personal Care,Savlon Handwash,1,95,95,Cash,Hyderabad
TXN100061,2025-05-15,CUST457,Beverages,Sunbean Coffee,5,180,900,Card,Bangalore
TXN100062,2025-05-03,CUST541,Personal Care,Savlon Sanitizer,5,70,350,UPI,Mumbai
TXN100063,2025-01-25,CUST930,Beverages,B Natural Juice,1,40,40,UPI,Hyderabad
TXN100064,2025-03-21,CUST326,Beverages,Sunbean Coffee,1,180,180,Card,Hyderabad
TXN100065,2025-04-12,CUST164,Personal Care,Savlon Handwash,2,95,190,Cash,Mumbai
TXN100066,2025-03-27,CUST274,Personal Care,Savlon Sanitizer,1,70,70,Cash,Delhi
TXN100067,2025-06-08,CUST415,Personal Care,Vivel Soap,1,35,35,UPI,Kolkata
TXN100068,2025-06-09,CUST219,Beverages,B Natural Juice,1,40,40,Cash,Bangalore
TXN100069,2025-03-24,CUST513,Personal Care,Savlon Handwash,1,95,95,Card,Kolkata
TXN100070,2025-06-13,CUST315,Beverages,B Natural Juice,5,40,200,Cash,Bangalore
TXN100071,2025-05-13,CUST173,Beverages,Sunbean Coffee,2,180,360,Card,Bangalore
TXN100072,2025-04-13,CUST729,Personal Care,Savlon Handwash,4,95,380,Cash,Mumbai
TXN100073,2025-01-10,CUST744,Personal Care,Savlon Handwash,1,95,95,Cash,Delhi
TXN100074,2025-06-21,CUST275,Personal Care,Vivel Soap,4,35,140,Card,Kolkata
TXN100075,2025-04-01,CUST474,FMCG,Aashirvaad Atta,2,65,130,Cash,Mumbai
TXN100076,2025-03-29,CUST294,FMCG,Aashirvaad Atta,2,65,130,UPI,Delhi
TXN100077,2025-03-15,CUST287,Personal Care,Vivel Soap,1,35,35,Card,Delhi
TXN100078,2025-05-16,CUST453,Beverages,B Natural Juice,2,40,80,Cash,Bangalore
TXN100079,2025-05-08,CUST149,Snacks,Bingo Chips,3,20,60,Card,Chennai
TXN100080,2025-03-10,CUST279,Snacks,Bingo Chips,2,20,40,UPI,Chennai
TXN100081,2025-05-30,CUST522,Snacks,Bingo Mad Angles,1,25,25,UPI,Bangalore
TXN100082,2025-02-19,CUST407,Personal Care,Savlon Handwash,1,95,95,UPI,Bangalore
TXN100083,2025-03-14,CUST292,Personal Care,Savlon Handwash,2,95,190,Card,Delhi
TXN100084,2025-02-12,CUST626,Snacks,Bingo Chips,1,20,20,UPI,Chennai
